"";"CodeLocatie";"Habitattype";"ID";"Meetnet";"datum";"Versie";"aantal groeivormen";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²";"jaar";"periode"
"143";"TR306500.3";"3260";"TR306500.3_3/07/2017";"monitoringVMM_KRW";2017-07-03;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2017;"2"
"144";"TR306500.3";"3260";"TR306500.3_3/07/2017";"monitoringVMM_KRW";2017-07-03;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2017;"2"
"145";"TR333500.2";"3260";"TR333500.2_12/08/2009";"monitoringVMM_KRW";2009-08-12;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2009;"1"
"146";"TR333500.2";"3260";"TR333500.2_12/08/2009";"monitoringVMM_KRW";2009-08-12;"Versie 3";NA;TRUE;TRUE;TRUE;FALSE;FALSE;NA;2009;"1"
"147";"TR333500.2";"3260";"TR333500.2_20/09/2011";"monitoringVMM_KRW";2011-09-20;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"148";"TR333500.2";"3260";"TR333500.2_20/09/2011";"monitoringVMM_KRW";2011-09-20;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2011;"1"
"149";"TR333500.2";"3260";"TR333500.2_7/09/2017";"monitoringVMM_KRW";2017-09-07;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2017;"2"
"150";"TR333500.2";"3260";"TR333500.2_7/09/2017";"monitoringVMM_KRW";2017-09-07;"Versie 3";NA;TRUE;TRUE;TRUE;FALSE;FALSE;NA;2017;"2"
"151";"TR333500.3";"3260";"TR333500.3_11/08/2009";"monitoringVMM_KRW";2009-08-11;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2009;"1"
"152";"TR333500.3";"3260";"TR333500.3_11/08/2009";"monitoringVMM_KRW";2009-08-11;"Versie 3";NA;TRUE;TRUE;TRUE;FALSE;FALSE;NA;2009;"1"
"153";"TR333500.3";"3260";"TR333500.3_20/09/2011";"monitoringVMM_KRW";2011-09-20;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"154";"TR333500.3";"3260";"TR333500.3_20/09/2011";"monitoringVMM_KRW";2011-09-20;"Versie 3";NA;TRUE;TRUE;TRUE;FALSE;FALSE;NA;2011;"1"
"155";"TR333500.3";"3260";"TR333500.3_7/09/2017";"monitoringVMM_KRW";2017-09-07;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2017;"2"
"156";"TR333500.3";"3260";"TR333500.3_7/09/2017";"monitoringVMM_KRW";2017-09-07;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2017;"2"
"157";"TR335600.3";"3260";"TR335600.3_18/08/2014";"monitoringVMM_KRW";2014-08-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2014;"2"
"158";"TR335600.3";"3260";"TR335600.3_18/08/2014";"monitoringVMM_KRW";2014-08-18;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2014;"2"
"159";"TR335600.3";"3260";"TR335600.3_19/07/2012";"monitoringVMM_KRW";2012-07-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2012;"1"
"160";"TR335600.3";"3260";"TR335600.3_19/07/2012";"monitoringVMM_KRW";2012-07-19;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2012;"1"
"161";"TR335600.3";"3260";"TR335600.3_24/07/2017";"monitoringVMM_KRW";2017-07-24;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2017;"2"
"162";"TR335600.3";"3260";"TR335600.3_24/07/2017";"monitoringVMM_KRW";2017-07-24;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA;2017;"2"
"163";"TR418000.1";"3260";"TR418000.1_1/06/2007";"monitoringVMM_KRW";2007-06-01;"Versie 2.0";TRUE;FALSE;NA;FALSE;FALSE;TRUE;NA;2007;"1"
"164";"TR418000.1";"3260";"TR418000.1_1/06/2007";"monitoringVMM_KRW";2007-06-01;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2007;"1"
"165";"TR418000.1";"3260";"TR418000.1_19/09/2016";"monitoringVMM_KRW";2016-09-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2016;"2"
"166";"TR418000.1";"3260";"TR418000.1_19/09/2016";"monitoringVMM_KRW";2016-09-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA;2016;"2"
"167";"TR72000.2";"3260";"TR72000.2_28/06/2007";"monitoringVMM_KRW";2007-06-28;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2007;"1"
"168";"TR72000.2";"3260";"TR72000.2_28/06/2007";"monitoringVMM_KRW";2007-06-28;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2007;"1"
"169";"TR72000.2";"3260";"TR72000.2_30/08/2016";"monitoringVMM_KRW";2016-08-30;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2016;"2"
"170";"TR72000.2";"3260";"TR72000.2_30/08/2016";"monitoringVMM_KRW";2016-08-30;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2016;"2"
