"IDPlots";"Habitattype";"X_coord";"Y_coord";"SBZH";"Regio";"HabCode";"ID";"Date";"Jaar";"PlotWeight";"StratumWeight";"WeightComb"
"ZSCPQ199";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101316163836";"1995-10-10";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ200";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030311211704";"2013-10-15";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ200";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101316210292";"1995-10-13";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ201";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030311263430";"2013-10-15";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ201";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101316244338";"1995-10-13";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ203";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030311283135";"2013-10-15";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ203";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101316312845";"1995-10-13";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ222";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070516275106";"2012-09-26";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ222";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011315360763";"2013-10-07";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ222";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016120512033460";"2016-10-07";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ225";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070908573073";"2012-09-26";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ225";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011315404492";"2013-10-07";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ225";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016120513593673";"2016-10-07";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ227";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070909043060";"2012-09-26";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ227";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011315450812";"2013-10-07";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ227";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016120516150711";"2016-10-07";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ230";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070909104301";"2012-09-26";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ230";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011315505423";"2013-10-07";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ230";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121209285905";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ234";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070909254090";"2012-09-26";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ234";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316053103";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ234";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121210233402";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ240";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910074952";"2012-10-03";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ240";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316134838";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ240";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121211135257";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ241";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910125132";"2012-10-03";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ241";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316163049";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ241";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121213353352";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ242";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910180541";"2012-10-03";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ242";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316205332";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ242";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121213410683";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ243";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910213880";"2012-10-03";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ243";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316224635";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ243";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121213454156";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ244";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910265522";"2012-10-03";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ244";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316270681";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ244";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121214092447";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ245";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910322160";"2012-10-02";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ245";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011316461461";"2013-10-09";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ245";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121214153466";"2016-10-10";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ246";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070913454269";"2012-10-08";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ246";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011317014960";"2013-10-14";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ246";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2016121215054565";"2016-10-12";2016;1;1,63283582089552;1,63283582089552
"ZSCPQ247";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2013070910360565";"2012-10-08";2012;1;1,63283582089552;1,63283582089552
"ZSCPQ247";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014011317033027";"2013-10-14";2013;1;1,63283582089552;1,63283582089552
