"";"CodeLocatie";"Habitattype";"Meetnet";"datum";"Versie";"aantal groeivormen";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²"
"185";"TR276700.2";"3260";"monitoringVMM_KRW";2013-07-17;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"186";"TR276700.2";"3260";"monitoringVMM_KRW";2013-07-17;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA
"187";"TR276700.2";"3260";"monitoringVMM_KRW";2016-08-23;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"188";"TR276700.2";"3260";"monitoringVMM_KRW";2016-08-23;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"189";"TR277000.1";"3260";"monitoringVMM_KRW";2013-07-16;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA
"190";"TR277000.1";"3260";"monitoringVMM_KRW";2013-07-16;"Versie 3";NA;TRUE;TRUE;TRUE;FALSE;FALSE;NA
"191";"TR277000.1";"3260";"monitoringVMM_KRW";2016-08-01;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"192";"TR277000.1";"3260";"monitoringVMM_KRW";2016-08-01;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;NA
"193";"TR291000.2";"3260";"monitoringVMM_KRW";2013-06-19;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"194";"TR291000.2";"3260";"monitoringVMM_KRW";2013-06-19;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA
"195";"TR292600.1";"3260";"monitoringVMM_KRW";2017-06-20;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"196";"TR292600.1";"3260";"monitoringVMM_KRW";2017-06-20;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"197";"TR306500.1";"3260";"monitoringVMM_KRW";2017-07-03;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"198";"TR306500.1";"3260";"monitoringVMM_KRW";2017-07-03;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"199";"TR306500.2";"3260";"monitoringVMM_KRW";2017-08-01;"Versie 2.0";TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA
"200";"TR306500.2";"3260";"monitoringVMM_KRW";2017-08-01;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA
"201";"TR306500.3";"3260";"monitoringVMM_KRW";2017-07-03;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;TRUE;NA
"202";"TR306500.3";"3260";"monitoringVMM_KRW";2017-07-03;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA
"203";"TR306500.4";"3260";"monitoringVMM_KRW";2014-07-28;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"204";"TR306500.4";"3260";"monitoringVMM_KRW";2014-07-28;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"205";"TR329000.2";"3260";"monitoringVMM_KRW";2015-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"206";"TR329000.2";"3260";"monitoringVMM_KRW";2015-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"207";"TR329000.3";"3260";"monitoringVMM_KRW";2015-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"208";"TR329000.3";"3260";"monitoringVMM_KRW";2015-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"209";"TR333500.2";"3260";"monitoringVMM_KRW";2017-09-07;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"210";"TR333500.2";"3260";"monitoringVMM_KRW";2017-09-07;"Versie 3";NA;TRUE;TRUE;TRUE;TRUE;FALSE;NA
"211";"TR333500.3";"3260";"monitoringVMM_KRW";2017-09-07;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"212";"TR333500.3";"3260";"monitoringVMM_KRW";2017-09-07;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA
"213";"TR335600.3";"3260";"monitoringVMM_KRW";2014-08-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"214";"TR335600.3";"3260";"monitoringVMM_KRW";2014-08-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"215";"TR335600.3";"3260";"monitoringVMM_KRW";2017-07-24;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"216";"TR335600.3";"3260";"monitoringVMM_KRW";2017-07-24;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"217";"TR397500.1";"3260";"monitoringVMM_KRW";2016-08-29;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"218";"TR397500.1";"3260";"monitoringVMM_KRW";2016-08-29;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"219";"TR418000.1";"3260";"monitoringVMM_KRW";2016-09-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"220";"TR418000.1";"3260";"monitoringVMM_KRW";2016-09-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"221";"TR418000.6";"3260";"monitoringVMM_KRW";2017-09-28;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"222";"TR418000.6";"3260";"monitoringVMM_KRW";2017-09-28;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"223";"TR488000.2";"3260";"monitoringVMM_KRW";2016-09-01;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"224";"TR488000.2";"3260";"monitoringVMM_KRW";2016-09-01;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"225";"TR489750.1";"3260";"monitoringVMM_KRW";2014-07-22;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"226";"TR489750.1";"3260";"monitoringVMM_KRW";2014-07-22;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"227";"TR72000.2";"3260";"monitoringVMM_KRW";2016-08-30;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"228";"TR72000.2";"3260";"monitoringVMM_KRW";2016-08-30;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;NA
"229";"TR834600.5";"3260";"monitoringVMM_KRW";2013-09-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"230";"TR834600.5";"3260";"monitoringVMM_KRW";2013-09-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
"231";"TR84000.1";"3260";"monitoringVMM_KRW";2013-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;FALSE;FALSE;NA
"232";"TR84000.1";"3260";"monitoringVMM_KRW";2013-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"233";"TR84000.3";"3260";"monitoringVMM_KRW";2013-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"234";"TR84000.3";"3260";"monitoringVMM_KRW";2013-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"235";"TR91000.7";"3260";"monitoringVMM_KRW";2013-07-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"236";"TR91000.7";"3260";"monitoringVMM_KRW";2013-07-17;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"237";"TR98000.2";"3260";"monitoringVMM_KRW";2017-06-27;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"238";"TR98000.2";"3260";"monitoringVMM_KRW";2017-06-27;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"239";"Voer_02";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"240";"Voer_02";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"241";"Voer_08";"3260";"MonitoringINBO_H3260";2016-08-11;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"242";"Voer_08";"3260";"MonitoringINBO_H3260";2016-08-11;"Versie 3";NA;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
"243";"WalBo_01";"3260";"MonitoringINBO_H3260";2015-08-28;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"244";"WalBo_01";"3260";"MonitoringINBO_H3260";2015-08-28;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
"245";"ZilBe_01";"3260";"MonitoringINBO_H3260";2017-05-19;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"246";"ZilBe_01";"3260";"MonitoringINBO_H3260";2017-05-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
